oblast,raion,hromada,level,started_at,finished_at,source
Kyiv City,,,oblast,2024-01-01 00:15:00+00:00,2024-01-01 01:10:00+00:00,official
Kharkiv,,,oblast,2024-01-01 05:00:00+00:00,2024-01-01 05:45:00+00:00,official
Kharkiv,,,oblast,2024-01-01 06:00:00+00:00,2024-01-01 22:00:00+00:00,official
Lviv,,,oblast,2024-01-01 15:00:00+00:00,2024-01-01 15:49:00+00:00,official
Kyiv City,,,oblast,2024-01-02 04:43:00+00:00,2024-01-02 05:16:00+00:00,official
Kyiv City,,,oblast,2024-01-02 17:37:00+00:00,2024-01-02 18:08:00+00:00,official
Kyiv City,,,oblast,2024-01-03 01:05:00+00:00,2024-01-03 01:28:00+00:00,official
Kyiv City,,,oblast,2024-01-03 06:26:00+00:00,2024-01-03 07:55:00+00:00,official
Kyiv City,,,oblast,2024-01-03 06:32:00+00:00,2024-01-03 07:21:00+00:00,official
Lviv,,,oblast,2024-01-03 14:00:00+00:00,2024-01-03 14:58:00+00:00,official
Kyiv City,,,oblast,2024-01-03 19:35:00+00:00,2024-01-03 19:58:00+00:00,official
Kyiv City,,,oblast,2024-01-04 00:44:00+00:00,2024-01-04 01:24:00+00:00,official
Kharkiv,,,oblast,2024-01-04 01:00:00+00:00,2024-01-04 01:45:00+00:00,official
Kyiv City,,,oblast,2024-01-04 14:51:00+00:00,2024-01-04 15:46:00+00:00,official
Kyiv City,,,oblast,2024-01-05 02:06:00+00:00,2024-01-05 03:14:00+00:00,official
Kyiv City,,,oblast,2024-01-05 06:06:00+00:00,2024-01-05 07:09:00+00:00,official
Kyiv City,,,oblast,2024-01-05 10:09:00+00:00,2024-01-05 11:04:00+00:00,official
Kyiv City,,,oblast,2024-01-05 11:38:00+00:00,2024-01-05 12:42:00+00:00,official
Lviv,,,oblast,2024-01-05 19:00:00+00:00,2024-01-05 19:42:00+00:00,official
Kyiv City,,,oblast,2024-01-06 01:34:00+00:00,2024-01-06 02:52:00+00:00,official
Kyiv City,,,oblast,2024-01-06 03:05:00+00:00,2024-01-06 04:13:00+00:00,official
Lviv,,,oblast,2024-01-06 11:00:00+00:00,2024-01-06 11:34:00+00:00,official
Kyiv City,,,oblast,2024-01-06 17:53:00+00:00,2024-01-06 18:50:00+00:00,official
Kyiv City,,,oblast,2024-01-07 02:42:00+00:00,2024-01-07 03:07:00+00:00,official
Kyiv City,,,oblast,2024-01-07 07:05:00+00:00,2024-01-07 08:02:00+00:00,official
Kharkiv,,,oblast,2024-01-07 08:00:00+00:00,2024-01-07 08:45:00+00:00,official
Kyiv City,,,oblast,2024-01-07 18:45:00+00:00,2024-01-07 19:29:00+00:00,official
Kyiv City,,,oblast,2024-01-08 03:17:00+00:00,2024-01-08 04:25:00+00:00,official
Kyiv City,,,oblast,2024-01-08 14:10:00+00:00,2024-01-08 15:16:00+00:00,official
Lviv,,,oblast,2024-01-08 20:00:00+00:00,2024-01-08 20:57:00+00:00,official
Kyiv City,,,oblast,2024-01-09 08:38:00+00:00,2024-01-09 09:07:00+00:00,official
Kyiv City,,,oblast,2024-01-09 11:42:00+00:00,2024-01-09 12:28:00+00:00,official
Kyiv City,,,oblast,2024-01-09 20:34:00+00:00,2024-01-09 21:15:00+00:00,official
Kharkiv,,,oblast,2024-01-10 00:00:00+00:00,2024-01-10 20:00:00+00:00,official
Kyiv City,,,oblast,2024-01-10 05:24:00+00:00,2024-01-10 06:43:00+00:00,official
Kyiv City,,,oblast,2024-01-10 08:43:00+00:00,2024-01-10 09:31:00+00:00,official
Kyiv City,Desnyanskyi raion,,raion,2024-01-10 10:00:00+00:00,2024-01-10 10:30:00+00:00,official
Lviv,Lviv raion,Lviv hromada,hromada,2024-01-10 10:00:00+00:00,2024-01-10 10:30:00+00:00,official
Kharkiv,,,oblast,2024-01-10 12:00:00+00:00,2024-01-10 12:45:00+00:00,official
Lviv,,,oblast,2024-01-10 14:00:00+00:00,2024-01-10 14:37:00+00:00,official
Kyiv City,,,oblast,2024-01-11 01:25:00+00:00,2024-01-11 02:25:00+00:00,official
Kyiv City,,,oblast,2024-01-11 01:52:00+00:00,2024-01-11 02:41:00+00:00,official
Kyiv City,,,oblast,2024-01-11 08:13:00+00:00,2024-01-11 08:41:00+00:00,official
Lviv,,,oblast,2024-01-11 19:00:00+00:00,2024-01-11 19:46:00+00:00,official
Kyiv City,,,oblast,2024-01-12 06:25:00+00:00,2024-01-12 07:48:00+00:00,official
Kyiv City,,,oblast,2024-01-12 08:15:00+00:00,2024-01-12 08:52:00+00:00,official
Lviv,,,oblast,2024-01-12 16:00:00+00:00,2024-01-12 16:37:00+00:00,official
Kyiv City,,,oblast,2024-01-12 20:09:00+00:00,2024-01-12 21:27:00+00:00,official
Kyiv City,,,oblast,2024-01-13 07:32:00+00:00,2024-01-13 08:09:00+00:00,official
Kharkiv,,,oblast,2024-01-13 10:00:00+00:00,2024-01-13 10:45:00+00:00,official
Kyiv City,,,oblast,2024-01-13 18:23:00+00:00,2024-01-13 19:34:00+00:00,official
Kyiv City,,,oblast,2024-01-13 18:57:00+00:00,2024-01-13 20:11:00+00:00,official
Kyiv City,,,oblast,2024-01-14 02:24:00+00:00,2024-01-14 03:33:00+00:00,official
Kyiv City,,,oblast,2024-01-14 02:55:00+00:00,2024-01-14 03:21:00+00:00,official
Kyiv City,,,oblast,2024-01-14 03:40:00+00:00,2024-01-14 04:19:00+00:00,official
Kyiv City,,,oblast,2024-01-14 05:38:00+00:00,2024-01-14 06:52:00+00:00,official
Lviv,,,oblast,2024-01-14 10:00:00+00:00,2024-01-14 10:55:00+00:00,official
Kyiv City,,,oblast,2024-01-15 00:43:00+00:00,2024-01-15 01:17:00+00:00,official
Lviv,,,oblast,2024-01-15 16:00:00+00:00,2024-01-15 16:47:00+00:00,official
